,日付,タイトル,本文
1600,2020年10月28日,ジャガイモのガレット,こんばんは、こうすけです。 今日は、フランスフェア会期中に試してみたかったジャガイモのガレットを試作してみました。今日はシンプルにジャガイモと塩だけ。細くスライスしたジャガイモをオリーブオイルと塩で焼くだけのシンプルな料理。なのに、何でこんなに美味しいのでしょう。 シンプルなメニューなので、いろんなアレンジをするのが楽しみです。やはりオイルサーディンと組み合わせたいところです。
1604,2020年10月29日,サンフラワーサーディンとキノコの和風パスタ,こんばんは、こうすけです。 今日はサンフラワーサーディンを使って、和風パスタにトライしてみました。秋ということもあり、何種類かのキノコを一緒に炒めて、生姜と醤油を少し加えて出来てしまいます。仕上げに青のりなどをかけて完成！！オイルサーディンを使って和風アレンジというのもとても良い組み合わせ。 そして残念なことに、写真を撮ったつもりが、うまく撮れずに食べ終わってしまっておりました…….。また作ってあげ直したいと思います。
1606,2020年10月30日,11月のお休み,こんばんは、こうすけです。 今日は所用でお店を急遽お休みとさせていただきました。 １１月のお休みですが、通常のお休みに加えて、３日、１２日、２１日、土曜日をお休みいたします。土曜日は昼はお休み、夜はご予約のみの営業とさせていただきます。変則的な営業となりますが、どうぞよろしくお願いいたします！ 
1609,2020年10月31日,オニオングラタン風スープドポワソン・プロヴァンス,こんばんは、こうすけです。 今日はまたぐっと冷え込む１日でしたね。こんな寒い日は、温かいスープが恋しくなります。 こんな時にあると嬉しいのが、スープドポワソン・プロヴァンスの缶。ちょっと一手間加えると、それだけで豪華な一品に。 飴色になるまで炒めた玉ねぎと、こんがり焼いたパン、そしてあぶったチーズを加えると、より一層心も体も温まる仕上がりに。 ぜひお試しください！
1612,2020年11月1日,パプリカのマリネ,こんばんは、こうすけです。 今日はパプリカをたっぷりと堪能してみました。皮が真っ黒になるまで焼いて剥いでから、レモン酢と顆粒をベースにしたエキスにしっかりとマリネ。心地よいレモンの酸味で、かなりさっぱりとしたパプリカのマリネが完成です。少し時間はかかりますが、とても美味しいサイドメニュー。お肉の付け合わせにぜひ。
1615,2020年11月2日,11月の店長,こんばんは、こうすけです。 何と気づけば１１月！早いですね、もう今年もあと２ヶ月かと思うと、びっくりします。 店長も冬仕様で出勤始めました。この姿を見ると、冬だなぁ、という気分です。
1619,2020年11月3日,夕陽,こんばんは、こうすけです。 今日の夕陽、かなり綺麗でした。雲間に夕陽が落ちていく速度が中々早く、それがまた見ていて面白かったです。そしてびっくりするくらい、赤い。久しぶりにじっくりと夕陽を眺めることができた気がします。こういう時間は本当に贅沢ですね。 極上の時間でした。
1622,2020年11月4日,デザート考え中,こんばんは、こうすけです。催事期間中、フィリップのコンフィチュールを眺め続けていたためか、彼のコンフィチュールを使ったデザートが作りたくてたまらない、今日この頃です。色々と作ってみたいものがありつつ、レシピをどうしたものか、思案中。こうした時間も楽しいですね。近々デザートに登場させたいと思います、お楽しみに！
1625,2020年11月5日,バターサーディンとジャガイモのガレット,こんばんは、こうすけです。 ずいぶんと夜が冷え込むようになってきましたね。 今日は遂にジャガイモのガレットとサーディンを合わせてみました。ジャガイモといえば、バター。ということで今回はバターサーディンとジャガイモのガレットです。 ジャガイモを細長くスライスしたところに、バターサーディンを加えてよく混ぜます。オリーブオイルを引いたフライパンに、上のジャガイモとサーディンを乗せて、じっくり両面を、カリカリになるまで焼きます。辛抱強くじっくり丁寧に。 両面がカリカリになったら、完成です。 カリカリホクホクのジャガイモに、バターとイワシの風味が最高の組み合わせ。手軽に楽しめるおつまみ。ぜひお試しください。
1630,2020年11月6日,ガレットトライアル,こんばんは、こうすけです。 今日もせっせと試作をしています。いずれガレットをメニューでお出しできるようにしたいと思っております。クレープ用のフライパンを使って試しているのですが、焼成温度の限界はありつつも、徐々に綺麗なガレットが出来るようになってきました。まずは生地だけの挑戦ですが、次は具材を入れて作ってみたいと思います。生地作りだけでも、中々楽しく仕上げられているので、完成させるのが楽しみです。
1633,2020年11月7日,しらす丼,こんばんは、こうすけです。 久々に地元のしらすをいただきました。このしらすを目玉焼きと一緒に丼にして食べるとやたら美味しいです。仕上げにNYONSオリーブオイルをかけると、風味がとても豊かで、味わいもさらにまろやかになります。和食材との相性が抜群です。朝の活力におすすめです。
1636,2020年11月8日,ただ歩いてみた,こんばんは、こうすけです。 今日はふと思い立ち、スマホを放置して、２時間何の当てもなくふらふら歩いてみました。スマホから離れてみると、写真を撮ることもなく、音楽を聴くこともなく、時間を見ることもなく、SNSに目を通すこともなく、ただただ歩くことを楽しむことが出来ました。歩くことを楽しんでみると、普段は気にかけていなかったものに色々と意識がいって、感覚が広がった気がします。 普段、よほど情報にまみれているのか、それがよく分かりました。この感覚をまた日々に活かしていきたいです。
1644,2020年11月9日,フィリップのコンフィチュールニュース,こんばんは、こうすけです。 アクアメールで取り扱っている、フィリップ・ブルネトンのコンフィチュールについて、嬉しいお知らせが入ってきました。フランスのコンドリュー県のBoulangerieRelaisDesGrangesというパン屋さんで、取り扱いが始まったそうです。早速お店では、店頭販売と合わせて、マンダリンのコンフィチュールを使ったチョコレートタルトも作り始めたとか。美味しそう、気になりますね。 
1648,2020年11月10日,爽やかナポリタン,こんばんは、こうすけです。 突然やってきたナポリタン食べたい欲に抗えず、久々のナポリタンです。たっぷりのケチャップがたまりませんね、ナポリタン。そんなナポリタンにマーマレードを入れると、甘みとオレンジの香りの余韻を楽しむことが出来ます。もちろん、マーマレードはフィリップのマーマレードシリーズで。とても爽やかなナポリタンをぜひ楽しんでみてくださいね。
1651,2020年11月11日,シトロンサーディンのサラダ,こんばんは、こうすけです。 朝晩がぐっと冷え込むようになってきましたね。こう寒いと、温かい野菜が食べたくなってきます。 今回はシトロンサーディンを使って、温野菜盛りだくさんのサラダを。あぶった白菜の上に、ソテーした旬の蕪、細長くスライスしたにんじんとマッシュルームを炒めたパスタ風の和え物を添えて、仕上げに温めたシトロンサーディンを載せます。たっぷりの野菜を楽しめる一皿です。秋の夜長にいかがでしょうか。 
1655,2020年11月12日,里芋のフリット,こんばんは、こうすけです。 今日はこの時期ならではのおつまみのご紹介。里芋のフリットです。皮を剥いた里芋をそのまま素揚げして、無塩バターで軽く炒めて、ゲランドの塩と茶葉を振りかけたら完成です。素揚げしたところにバターというと何とも罪作りな気がしますが、ここは大目に。やはり美味しいものです。ホクホクねっとりの食感がたまりません。急に寒くなったこんな日に、ぜひ。
1658,2020年11月14日,店長冬仕様,こんばんは、こうすけです。 朝晩が本当にずいぶんと冷え込むようになりましたね。店長もこの寒さには冬仕様で臨むようになりました。朝の散歩はぐっと冷えますが、空気が澄んでいて、気持ちがいいです。店長も冬を味わっている感じがします。
1661,2020年11月14日,三位一体のパンケーキ,こんばんは、こうすけです。 今朝は何だかパンケーキが食べたくて、朝からせっせと仕込んでみました。パンケーキというと、バターにメープルシロップや蜂蜜をかけて、たっぷりと甘みを楽しむイメージ。 しかし、今回はスパイスと塩を振りかけた目玉焼きと焼きリンゴを添えて、甘味、辛味、塩味を一気に楽しめる仕上がりにしてみました。塩は海の果実を使って、食感のアクセントも。３時のおやつが、しっかりとした朝食に早変わりです。色々なトライアルが楽しいひとときでした。
1664,2020年11月15日,塩レモンクリームパスタ,こんばんは、こうすけです。 今日は濃厚で爽やかなパスタのご紹介です。お店では、ゲランドの塩と広島産のレモンを重ねて作った塩レモンを使っております。これを調味料として使うと、レモンの爽やかな香りと塩の旨味が、それは素晴らしく食材を味付けしてくれます。今回はこの塩レモンを使ったクリームパスタ。パスタを茹でている間に、生クリームに刻んだ塩レモンを加え、沸騰しないように加熱します。生クリームにパスタの茹で汁を少し加えてから水分を飛ばし、最後にパスタを絡めたら完成です。非常にお手軽、それでいてとても美味。本当に爽やか。ぜひこのレシピ、お試しください！ 
1667,2020年11月16日,ラタトゥイユ製造中,こんばんは、こうすけです。 以前ご好評いただいラタトゥイユ、再び仕込んでおります。ただいま仕込み真っ最中です。ご要望に合わせて、お惣菜としてお持ち帰りもできるようにしたいと思います。お気軽にお声がけください。ひたすら野菜を切り出し中です、乞うご期待！
1670,2020年11月17日,再びのラタトゥイユ,こんばんは、こうすけです。 昨日しっかりと仕込んだラタトゥイユ。今回もいい感じに完成しました。丁寧なのは変わらず、前回よりも時短できた気がします。 野菜は全てカットして、軽く塩を振ってからそれぞれしっかり炒めていきます。 パーツをしっかり炒めたら、今度はトマトの水分を飛ばしていきます。トマトの旨味をしっかりと抽出したら、先に炒めておいた野菜としっかり合わせて、完成です。 やっぱり、我ながら好きなんです、このラタトゥイユ。さらに美味しくなるように、研究したいと思います。
1679,2020年11月18日,簡単ホワイトソース,こんばんは、こうすけです。 今日はお手軽ホワイトソースの作り方をご紹介。今日ふと思いついたのですが、思った以上に手軽にホワイトソースが作れました。 まずオリーブオイルにふるった小麦粉を加えて、よくねります。 練った小麦粉を鍋に入れて、塩をひとつまみ加えたら、香ばしく香るまで、弱火で炒めます。 最後に牛乳を加えたら、よく混ぜながら水分を飛ばして完成です。これだとダマもほとんど気にならないので、とても簡単です！このホワイトソースを使って、何を作りましょう、ワクワクしますね。
1685,2020年11月19日,北陸出張,こんばんは、こうすけです。 今日から３日間北陸にお邪魔しております。福井でオリジナル味噌をお願いした、味噌蔵の米五さんを見学させていただきました。やはり現地でお話を伺うと、かなり勉強になります。間もなく味噌も仕上がる予定ですので、非常に楽しみです。乞うご期待！
1688,2020年11月20日,金沢出張,こんばんは、こうすけです。昨日から金沢に来ております。初の金沢なのですが、街並みや食文化が非常に刺激になっております。町屋文化を現代にそのまま活かしたお店が多く、本当に見ていて勉強になりますし、とても楽しい気持ちでいっぱいです。色々吸収して葉山に戻りたいと思います。
1693,2020年11月21日,町屋文化の刺激,こんばんは、こうすけです。 金沢から戻ってきました。改めて、いい時間を過ごすことが出来たなとしみじみ。既存の町屋をそのまま活かし、さまざまな空間として活用しているのを拝見するのは、本当に面白かったです。外装はそのままに、内装も梁や壁などをそのまま活かしつつ、モダンにリノベーションしているのが、とても居心地が良かったです。空間はもちろんのこと、料理が魅力的なお店も多く、２日しか逗留できなかったのが本当に残念でした。この２日の経験をこれからまた活かしていきたいと思います。それにしても素敵な街でした。
1696,2020年11月22日,サバマカロニグラタン,こんばんは、こうすけです。 日中は暖かく、心地の良い天気ですが、夜はぐっと冷えますね。 こんな日は簡単グラタンで身も心も温まりませんか？ 先日ご紹介したお手軽ホワイトソースに、茹でたマカロニと、サバフィレトマト仕立てを加えて混ぜ、チーズをたっぷり載せてオーブンで焼いたら完成です。 本当にあっという間！ぜひお試しくださいね。
1699,2020年11月23日,三連休最終日の夕焼け,こんばんは、こうすけです。三連休もあっという間、皆様いかがお過ごしでしたか？ 葉山の夕焼けがとても見応えがあり、今日の夕方はじっくりと夕焼けを眺めておりました。こうしたゆっくりした時間がもてるのは、本当に嬉しいですね。明日からお店の営業も再開です。どうぞよろしくお願いします。
1702,2020年11月24日,イベント出展のお知らせ,こんばんは、こうすけです。 来たる１２月４〜６日の３日間、渋谷のelephantSTUDIOで開催される”太陽と星空のクリスマス“に出店することになりました。さまざまな雑貨屋さんとの催事出店は久しぶりのことなので、ワクワクします。また日程が近づき次第、お知らせしたいと思います。
1706,2020年11月25日,ロールキャベツ,こんばんは、こうすけです。 まもなく１２月、本当に夜はぐっと寒くなってきましたね。今日はそんな冬のお腹を温める、ロールキャベツを試作してみました。お腹に優しい仕上がりを目指して、中身は鶏ひき肉と刻んだ玉ねぎ、里芋。味付けはさっぱりシンプルに刻んだ塩レモンを加えて。粘りが出るまで、具材をしっかりと混ぜたら、湯がいてさましたキャベツの葉に包んで、じっくり煮込みます。キャベツを湯がいたスープで煮込めば、味わいもさらに優しくなります。一緒に、大根やカリフラワー、ブロッコリーなどと一緒に煮込むのも、おすすめです。
1710,2020年11月26日,ソースたっぷりグラタン,こんばんは、こうすけです。 今日は以前作ったお手軽ホワイトソースを使って、シンプルなグラタンを作ってみました。１.５mm程度の厚みに切ったジャガイモに塩を軽くふり、ホワイトソースをたっぷりとかけたら、さらにたっぷりチーズをかけて、しっかり焦げ目がつくまで焼いたら完成です。ホワイトソースのハードルを下げてみたら、思った以上にグラタンが簡単になりまして、身も心もホクホクしています。 
1716,2020年11月27日,再びパプリカマリネ,こんばんは、こうすけです。 今日は打ち合わせ終わりに、再びパプリカマリネを作っておりました。今回は、前回よりも酸味を柔らかく。マリネ液は、レモン酢と塩レモンにフィリップのニースレモンのコンフィチュールを加えて、ほんのりと甘みを加えてみました。このマリネ液にたっぷりと焼いたパプリカを漬けておきます｡今度はどんな仕上がりになるか。楽しみです。
1718,2020年11月28日,レモンの木,こんばんは、こうすけです。 今年の６月に育て始めたレモンの木ですが、ついに大きな大きな実をつけてくれました！思った以上に丸々としていて、可愛く育ってくれました。そろそろ収穫して、美味しく使いたいと思います。
1722,2020年11月29日,冬の朝焼け,こんばんは、こうすけです。 最近スマホのパノラマ撮影にハマっています。パノラマ撮影をすると、景色を広々と楽しめるので、本当に良い機能ですね。 冬の葉山は、朝焼けが本当に綺麗です。今朝は雲がかなりかかりながらも、陽がさしていて、景色の中に様々な表情が見えて、とても素晴らしかったです。朝の散歩習慣でこの朝陽を楽しめるようになりました。 明日も朝の散歩が楽しみです。どんな景色に出会えることやら。
1726,2020年11月30日,オイルサーディンをご紹介いただきました。,こんにちは、こうすけです。 今日はお知らせを。ライフスタイルの様々な興味深い情報を発信しているミモレ様のサイトで、ラベルイロワーズのオイルサーディンをご紹介いただきました。こんな時期だからこそのお家飲みにオススメのひと品として掲載していただいております。ぜひご覧ください！
1729,2020年12月1日,朝の満月と店長,こんばんは、こうすけです。 昨日は見事な満月でしたね。久しぶりにあれだけ綺麗な満月を見た気がします。何だかいいことがありそうな予感。と思っていたら、何と今朝まで満月が残っておりました。朝６時！こんなこともあるものなんですね。店長と満月を思わずフレームに。幸先の良い１２月になりました。
1734,2020年12月2日,ドライスイートポテト,こんばんは、こうすけです。 １２月の雨、ぐっと体が冷えますね。これだけ寒くとも、出回っているサツマイモが嬉しいものです。久しぶりに干し芋を作っております。しっかりと塩茹でしてから作っているので、ほんのり塩みが味わえるのがいいアクセント。前菜、付け合わせ、おやつと大活躍です。
1737,2020年12月3日,緑野菜たっぷりグラタン,こんばんは、こうすけです。 野菜が随分と美味しくなってきました。今日はキャベツとブロッコリーを使って、グラタンに。軽く塩茹でした野菜に、簡単ホワイトソースとチーズをたっぷりかければ、あっという間に緑豊かなグラタンの完成です。寒い冬の夜に、熱々のグラタン、いかがでしょうか。
1740,2020年12月4日,太陽と星空のクリスマス,こんばんは、こうすけです。 今日から、渋谷のスタジオ・エレファントさんで行われる太陽と星空のクリスマスに出展しております。こういったマルシェだから出来る、ちょっとお得なセットなどもありますので、お近くにいらっしゃった際は、ぜひお立ち寄りください！可愛い雑貨を販売されているお店さんもいらっしゃいます。日曜日までやっております！
1744,2020年12月5日,限定パッケージリンゴ飴,こんばんは、こうすけです。 今日は太陽と星空のクリスマス２日目でした。今回ブースでは、今の時期ならではの新商品として、リンゴ風味の塩あめ『ボンボン・サレドゲランド　ポム＆ナチュール』を販売しております。パッケージも年末年始限定仕様。可愛いりんごとハート、そして塩の結晶が描かれた紅白イメージのパッケージです。もちろん、飴も紅白配色。お店でも数量限定でただいま販売中です！
1749,2020年12月6日,イベント終了,こんばんは、こうすけです。 本日でマルシェ無事終了いたしました。今回、久しぶりに食材系ではないイベントに出たので、また新しい刺激を受けることが出来ました。見せ方だったり、色々と勉強になりました。どう活かせるか、考え所とです。
1752,2020年12月7日,店長バッジ,こんばんは、こうすけです。 何と嬉しいことに、お客様から、店長モチーフのピンバッジを作っていただきました。しかもシルバー製！！店長の特徴をしっかり捉えていただき、とても可愛い仕上がりに。お店に飾ってありますので、よかったら、ご覧くださいね。
1757,2020年12月8日,ショコラテリーヌ試作,こんばんは、こうすけです。 今日はショコラテリーヌの試作です。フィリップのコンフィチュールを使ったデザートを考えていまして、チョコレートも恋しい時期になってきたので、フィリップのコンフィチュールと組み合わせた、濃厚なショコラテリーヌを作ってみました。 まずは、砕いたナッツを、型に敷き詰めます。それからベースのテリーヌ生地を。チョコレートとオリーブオイルを湯煎でとかし、そこに砂糖と卵を加えて乳化するまでよく混ぜます。乳化したら、半量を型に流し入れ、そこに今回は赤スグリのコンフィチュールを赤ワインで溶いたものを載せ、残りの半量を型に流します。 ここまで来たら、あとは湯煎焼き。１８０度のオーブンで２０分ほど焼きます。表面がフルフルしている程度になったら、粗熱をとり、更に一晩冷蔵庫で寝かせます。 ということで、これから寝かせる作業に入ります。完成は明日！どうなっているのでしょう、ワクワクします。
1763,2020年12月10日,コンフィチュールで作るソース,こんばんは、こうすけです。 今日はフィリップの赤スグリジャムを使った、簡単ソースのご紹介。 醤油大さじ２、コンフィチュール、小さじ１、赤ワイン２０mlを小鍋で煮詰めていきます。コンフィチュールが溶けて来たら、更に全体的にとろみが付くまで煮詰めます。最後にオリーブオイルを少々加えたら、乳化するまでよく混ぜて完成です。 デミグラスソースを思わせるようなコクのあるソースが、これだけで出来てしまいます。これをハンバーグにかけたら、最高ですよ！
1766,2020年12月9日,赤すぐりのショコラテリーヌ,こんばんは、こうすけです。 昨日仕込んだチョコレートのテリーヌ、見事に完成しました。きちんと芯に仕込んだ赤すぐりのコンフィチュールもいいアクセントになっています。濃厚なチョコレートと赤すぐりの酸味が素晴らしいマリアージュ。今週のデザートとしてお出しします。よろしければ、お試しください。
1771,2020年12月11日,ピメントサーディンのアジアン焼きそば,こんばんは、こうすけです。 今日はオイルサーディンのピメント風味を使った焼きそばのご紹介。ピメントサーディンをつけているオイルで、軽く野菜を炒めます。野菜に軽く火を通したら、麺を入れて、蒸し焼きにして、サーディンとおたふくソース、更に簡単赤すぐリソースを加えて、水分が飛ぶまで炒めたら、完成です。ピリッとしたピメントの辛みとレモンの爽やかな酸味がソースと絡んで、東南アジアを思わせるような焼きそばに早変わり。いつもと一味違う焼きそばをお楽しみください！
1778,2020年12月12日,ピメントサーディンのペペロンチーノ,こんばんは、こうすけです。 今日もピメントサーディンを使ったレシピをご紹介。野菜たっぷりの、ピメントサーディンペペロンチーノです。 ピメントサーディンは、唐辛子の辛味が効いた、ピリ辛オイルサーディン。このサーディンとオイルを使えば、お手軽具沢山のペペロンチーノが作れます。野菜との相性もいいので、たっぷり野菜も入れてしまいます。今回はキャベツとブロッコリーを。ニンニクをオリーブオイルで弱火で炒めて、ニンニクオイルを作ります。そしてそのオイルで野菜を炒めます。食感を残したいので、軽く炒めておきます。 この間にパスタを茹でておきます。パスタが茹で上がる前に、サーディンを野菜に加えて炒め、パスタの茹で汁を加えます。最後にパスタを加えて、全体をしっかりと和えたら完成です。 ピメントサーディンの辛味が、ニンニクの香りと相まって、食欲を掻き立てます！
1784,2020年12月13日,遊びつかれ店長,こんばんは、こうすけです。 今日は久しぶりに、店長とお昼のお散歩に。いつもは仕事前の早朝散歩なので、サクッと海岸をひと歩きするだけ。ということで、今日はたっぷりのんびり店長とお昼の海岸を堪能してきました。 そのせいか、帰ってきたら店長はそのままぐっすり。まるでお餅が転がっているよう。いっぱい遊べて楽しかったようです。
1787,2020年12月14日,冬の塩田,こんにちは、こうすけです。 今日はフランスから、冬の塩田便りが届きました。 冬場は塩づくりは行われず、来年のための塩田整備の時期となります。水田を耕すように、塩田の土を掘り起こしているようです。今のブルターニュはかなり寒い気候に。そんな中作業する塩職人たちには、本当に感謝しかありません。こうやって冬の時期に丁寧に整備することで、また来年の収穫に繋がるんですね。
1795,2020年12月15日,オリーブオイルたっぷり海苔パスタ,こんばんは、こうすけです。 今日は久しぶりに、シンプルな和風パスタをご紹介。オリーブオイルをふんだんに使って、楽しむ和風パスタ、アオサ海苔とたっぷり絡めて、磯の香りを楽しみます。あら塩で茹で汁を作り、パスタを茹でた後に、オリーブオイルと茹で汁をしっかり混ぜて、そこに醤油とアオサ海苔を加えたら、パスタを投入してよく混ぜるだけ。これだけでそれはそれは芳醇な香りのパスタが完成です。 
1798,2020年12月16日,極まる寒さ,こんばんは、こうすけです。朝の寒さが随分と厳しくなってきましたね。早朝の店長散歩に出かけると、寒さで顔が痛くなってきました。 そんな寒さ厳しい朝ですが、朝焼けが随分と綺麗になってきています。寒さが強まる分、空気が澄んでくるのでしょうか。朝を迎える楽しみが増えていきます。
1801,2020年12月17日,『魔女がいっぱい』,こんばんは、こうすけです。 先日久しぶりに映画館へ映画を見に行ってきました。見てきたのは『魔女がいっぱい』原作は、『チャーリーとチョコレート工場』でも著名なロアルド・ダールの児童文学です。 主演にアン・ハサウェイ、脇を固めるのにスタンリー・トゥッティという、『プラダを着た悪魔』コンビ、監督はロバート・ゼメキス、脚本にギレルモ・デル・トロということで、もう公開前から待ち遠しかった作品です。 児童文学ベースなので、大人も楽しめる映画かと思いきや、予想を反して中々にブラック。魔女がいっぱいというだけあって、魔女がいっぱい出てくるわけですが、その容姿がかなりグロテスク。思いの外に大人向けのブラックファンタジーという感じでした。 アン・ハサウェイがまたいい味を出していまして、意地の悪い、不気味な魔女を好演。『プラダを着た悪魔』や『マイ・インターン』などの正統派ヒロインとは打って変わった、憎らしい役がまたハマっていて、とても魅力的でした。 年末の楽しみにおすすめの一作です。
1803,2020年12月18日,茶の楽しみ,こんばんは、こうすけです。 今日は、日本茶スタンドで働いている友人に会いに行ってまいりました。日本茶の知識量とトーク力が素晴らしく、あっという間に２時間くらい経っていました。日本茶の世界も本当に面白いですね。これは沼だなぁ、と思いながらずっと話をしておりました。淹れていただいた日本茶も、色、香り、味、とどれも素晴らしくて。本当に楽しい時間でした。いい刺激をもらいました。
1806,2020年12月19日,胃腸やすめ,こんばんは、こうすけです。 冬になり、体が温かさを求めているのか、ついつい温かいものを食べ過ぎてしまう今日この頃です。今年は、時節的にあまり忘年会のようなものは少ないのでしょうか。こういう時は、胃腸を休めるためにも、お酒を控え、温かくてさっぱり味のものを食べる火を増やすと良いかもしれません。そんな私は、先日つい調子に乗ってしまい、絶賛胃痛で苦しんでおります。本当に、食べ過ぎは禁物です……。
1808,2020年12月20日,赤と緑のリゾット,こんばんは、こうすけです。 今日も相変わらず、胃痛を引きずっております。ということで、少しでも胃腸に優しいものをと思いまして、紅芯大根とブロッコリー、キャベツで彩り豊かな、胃に優しいリゾットを作ってみました。 野菜を煮込んで出汁を取り、生米を炒めたら、そこに野菜ごと出汁を加えて、柔らかくなるまで、米を煮詰めていきます。最後に塩をひとふりして味を整えたら、完成です。油も一切使っていないので、とにかく胃に優しい。野菜の甘味がふんだんに出ていて、もちろん味も抜群です。美味しいので、食べ過ぎ注意！
1812,2020年12月21日,贈答用梅干しが完成しました。,こんにちは、こうすけです。 以前からこちらのブログでもお伝えしていた、梅干しが完成しました！友人のデザイナーと、書道家にパッケージのデザインを考案してもらい、非常に高級感ある仕上がりになりました。梅は和歌山県の最高級紀州南高梅を使用しています。かなりの大粒で、１粒でも食べ応え抜群です。近々オンラインでも販売を予定しております。ギフトとして喜んでいただけること、間違いなしの商品です。 まずはご報告まで！
1816,2020年12月22日,野菜の旨味うどん,こんばんは、こうすけです。 ひたすらに寒い日々が続きますね……みなさまいかがお過ごしでしょうか？寒い分、煮込んだ野菜が美味しいのはありがたいところです。今日はたっぷりの野菜を出汁兼具材にして、うどんを作ってみました。味付けはシンプルに、あら塩のみ。もう野菜の甘味がしっかりと良い出汁になってくれているので、箸が進みます！ 
1819,2020年12月23日,アップデート干し芋,こんにちは、こうすけです。 何故か今年は、干し芋がプチマイブーム。今まで２回ほど作ってきたのですが、今回は更にアップデート。 ついに、天日干し！！ 今まではオーブンを使った、いわば即席干し芋。天日の力は偉大でした。食感、甘味が段違い！冬のこの天気だからこそ出来る、素晴らしい食材です。こうなると色々と天日干ししたい欲が出てきますね…….。
1822,2020年12月24日,大根祭り,こんばんは、こうすけです。 最近大根にハマってます。特に千切りスライスを蒸して食べるのが美味しい今日この頃。今回は他の野菜と一緒に蒸して、オリーブオイルと塩でいただきます。たっぷり野菜が食べれるのが嬉しいですね。
1825,2020年12月25日,お店年内営業終了のお知らせ,こんばんは、こうすけです。 今週も今日でおしまいですね。お店の営業も今週でおしまいとなりました。今年は夜営業も始まり、また新しいお客様に来ていただくこともできました。ありがとうございます！ お店の年内営業は今週でおしまいですが、ブログは年内も引き続き更新していきます。どうぞよろしくお願いします。
1828,2020年12月26日,ワンダーウーマン１９８４,こんばんは、こうすけです。 今日は久しぶりに映画を見てきました。『ワンダーウーマン１９８４』DCコミックスのヒーロー映画です。アメコミ映画ということなので、ド派手なアクション映画かと思いきや、愛や欲望、素直さ、といった内面を深く描いた印象の映画でした。予想とは全く違った内容に驚いたのですが、いい意味で裏切られた映画でした。 
1830,2020年12月27日,ローストビーフ,こんばんは、こうすけです。 今日はたっぷりと時間が取れたので、久しぶりにローストビーフにトライしてみました。肉の塊に対して、１.２%ほどの塩分をまぶしてから、しばらく寝かせてからじっくりと焼くと意外と簡単に出来てしまいます。仕上げに以前も作った簡単赤すぐりソースをかければ、より味わい深いものに。ローストビーフにこのソースをかけてみて思ったのですが、かなり簡単便利。肉との相性が抜群です。
1834,2020年12月28日,オンラインストア年内営業最終日,こんばんは、こうすけです。 本日で、年内のオンラインストアの出荷作業が終了いたしました。ご注文は承っておりますが、出荷は年明け6日から行わせていただきます。本年も弊社のオンラインストアをご利用いただき、ありがとうございました。来年もどうぞよろしくお願いいたします！
1837,2020年12月29日,仕事納め,こんばんは、こうすけです。 本日で仕事納めとなりました。今年は思ってもいなかった事態で、何だかよくわからないまま、１年が過ぎ去ってしまった気がします。去年の今頃は、こんな事態になるとは欠片も思っていなかったので、青天の霹靂。とはいえ１年を越せたことは、本当にありがたいことです。 あと数日で新年ですが、来たる年をどのように迎えるのか、改めて自問したいと思います。 
1839,2020年12月30日,来年のお店営業時間について,こんばんは、こうすけです。 来年のお店の営業ですが、１月７日スタートを予定しております。また、夜の営業時間ですが、現状などを鑑みまして、食事のラストオーダーを２１時、閉店を２２時とさせていただきます。１月中の夜休みは、引き続き毎土日月曜日、１５日の第三金曜日、２０日〜２２日を予定しております。 どうぞよろしくお願いします！
1841,2020年12月31日,年越し蕎麦,こんばんは、こうすけです。 今日は大晦日。ということで恒例の年越し蕎麦を打ちました。今年は例年よりもスムーズに、そして綺麗に打てた気がします。今年はなかなか均等に切れました。こうして打った蕎麦を、シンプルにカツオ出汁と大根おろしでいただきます。仕上げにNYONSオリーブオイルをひとたらし。そばの風味と共に香るオリーブオイルの甘い香りがたまりません。 そして本年もありがとうございました。今年はなんだかよく分からないままに１年が過ぎていったような気がします。２０２１年は、日々をしっかりと意識しながら過ごしていきたいと思います。 ２０２１年もどうぞよろしくお願いいたします。
1847,2021年1月1日,明けましておめでとうございます。,こんばんは、こうすけです。 今日から２０２１年。無事新年を迎えることが出来ました。ありがたいことに、今日もとても良い天気。非常に気持ちの良い元日。空気が澄んでいて、富士山と海の青がとても美しい日。こうやって拝めるのは嬉しいことです。 さて、今年のブログはゆったりと、そして濃いめにお届けしたいと考えております。 本年もどうぞよろしくお願いします。
1850,2021年1月2日,お雑煮,こんばんは、こうすけです。 今年は何だかじっくりとお正月を味わえている気がします。今年も我が家のお雑煮は福井風。煮た丸餅に味噌汁で、始まりました。 そしてこのお雑煮は、待ちに待ったお雑煮でもあります。念願の「ゲランドの塩入り味噌」で作った味噌汁でのお雑煮です。 とてもまろやかで、後味がほんのり甘いお味噌に仕上がっております。１月中旬には販売予定ですので、どうぞお楽しみに！
1853,2021年1月6日,今後の夜営業について,こんばんは、こうすけです。 今日は当面の夜営業についてのお知らせです。２度目の緊急事態宣言発出を受けまして、宣言解除までの間、夜の営業を１７時半から２０時（ラストオーダー１９時）とさせていただきます。 かなり短時間での営業となりますので、どうなんだろうと正直迷うところではありますが、色々と模索しながらやっていきたいと思います。 どうぞよろしくお願いします。
